,timeStamp,EMS,Fire,Traffic
0,2016-01-03,503.0,101.0,215.0
1,2016-01-10,1248.0,395.0,759.0
2,2016-01-17,1255.0,309.0,984.0
3,2016-01-24,1285.0,534.0,1318.0
4,2016-01-31,1251.0,329.0,1023.0
5,2016-02-07,1146.0,339.0,822.0
6,2016-02-14,1191.0,344.0,781.0
7,2016-02-21,1212.0,429.0,835.0
8,2016-02-28,1176.0,477.0,866.0
9,2016-03-06,1129.0,297.0,737.0
10,2016-03-13,1277.0,334.0,659.0
11,2016-03-20,1203.0,310.0,690.0
12,2016-03-27,1157.0,293.0,605.0
13,2016-04-03,1217.0,456.0,935.0
14,2016-04-10,1183.0,290.0,691.0
15,2016-04-17,1154.0,289.0,696.0
16,2016-04-24,1233.0,395.0,712.0
17,2016-05-01,1120.0,307.0,699.0
18,2016-05-08,1164.0,297.0,738.0
19,2016-05-15,1196.0,284.0,767.0
20,2016-05-22,1174.0,298.0,771.0
21,2016-05-29,1285.0,376.0,834.0
22,2016-06-05,1141.0,330.0,811.0
23,2016-06-12,1223.0,415.0,929.0
24,2016-06-19,1208.0,350.0,794.0
25,2016-06-26,1187.0,352.0,699.0
26,2016-07-03,1205.0,338.0,731.0
27,2016-07-10,1170.0,342.0,682.0
28,2016-07-17,1294.0,344.0,840.0
29,2016-07-24,1236.0,397.0,787.0
30,2016-07-31,1287.0,420.0,933.0
31,2016-08-07,1272.0,392.0,725.0
32,2016-08-14,1234.0,394.0,679.0
33,2016-08-21,1128.0,363.0,812.0
34,2016-08-28,1239.0,356.0,735.0
35,2016-09-04,1242.0,359.0,715.0
36,2016-09-11,1254.0,325.0,752.0
37,2016-09-18,1223.0,349.0,788.0
38,2016-09-25,1190.0,386.0,788.0
39,2016-10-02,1170.0,379.0,879.0
40,2016-10-09,1238.0,408.0,798.0
41,2016-10-16,1227.0,359.0,760.0
42,2016-10-23,1275.0,400.0,909.0
43,2016-10-30,1159.0,360.0,911.0
44,2016-11-06,1182.0,322.0,787.0
45,2016-11-13,1267.0,357.0,876.0
46,2016-11-20,1259.0,348.0,914.0
47,2016-11-27,1219.0,377.0,768.0
48,2016-12-04,1248.0,367.0,976.0
49,2016-12-11,1199.0,325.0,820.0
50,2016-12-18,1262.0,444.0,960.0
51,2016-12-25,1225.0,389.0,849.0
52,2017-01-01,1341.0,315.0,593.0
