zipcode;median revenue ($)
18011;71432
18036;79951
18040;91238
18041;68279
18042;45441
18049;63636
18051;98021
18054;71630
18056;48074
18070;59917
18073;78720
18074;84482
18076;57011
18080;58415
18092;80288
18101;17250
18102;26575
18103;48289
18104;67929
18901;84056
18902;113606
18911;Nothing
18914;101522
18915;94844
18927;250000
18932;75750
18936;125000
18938;96685
18940;114423
18944;78312
18951;66162
18958;Nothing
18960;68159
18964;71442
18966;88549
18969;75465
18974;66758
18976;89817
19001;68345
19002;100326
19003;76496
19004;104933
19006;90234
19008;72580
19009;76111
19010;103737
19012;86555
19018;58264
19020;60657
19021;57052
19023;38790
19025;110000
19026;66783
19027;69793
19030;61776
19031;82917
19034;112813
19035;161667
19038;82275
19040;69807
19041;123080
19044;68913
19046;78715
19047;81100
19050;55530
19053;74219
19054;67637
19057;62863
19063;87347
19064;93000
19066;191711
19070;67284
19072;107959
19073;98297
19075;90132
19082;38029
19083;90946
19085;178233
19087;108409
19090;66857
19095;67170
19096;111563
19102;76962
19103;63709
19104;19236
19106;93720
19107;44402
19111;44123
19115;45799
19116;48058
19118;77271
19119;58378
19120;33966
19121;16105
19122;23509
19124;28726
19126;40031
19127;63849
19128;62052
19129;49807
19131;27914
19134;24291
19135;35859
19138;34795
19139;24627
19140;22654
19144;29961
19147;60400
19150;46462
19151;40358
19153;47138
19301;98148
19310;66354
19312;123777
19320;67460
19333;96346
19341;90114
19348;90196
19355;109706
19365;67829
19380;84843
19382;90873
19390;77462
19401;48791
19403;76178
19404;Nothing
19405;50405
19406;74104
19422;106803
19423;Nothing
19425;150192
19426;108814
19428;75136
19435;34694
19437;215338
19438;90449
19440;74223
19443;Nothing
19444;115993
19445;Nothing
19446;76263
19450;Nothing
19453;50000
19454;87658
19456;118689
19457;68929
19460;79227
19462;86552
19464;55900
19465;81998
19468;71923
19472;52500
19473;89224
19474;106607
19475;61117
19477;200000
19486;Nothing
19490;Nothing
19492;63269
19503;56505
19504;76698
19505;60511
19512;57335
19518;76946
19520;68688
19525;89503
19543;76124
19545;57765
19601;23935
19602;21795
19604;35337
19605;58033
19607;53919
19609;55231
19610;69179
